idna_subject,checker_type,destination,tested_at
cdn.adless.io,AVAILABILITY,domains.list,2026-02-11 06:31:56.148572+00:00
go.bestmobiworld.com,AVAILABILITY,domains.list,2026-02-11 06:31:56.446557+00:00
ijfcm7bu6ocerxsfq56ka3dtdanunyp4ytwk745b54agtravj2wr2qqd.onion.pet,AVAILABILITY,domains.list,2026-02-11 06:31:57.974158+00:00
cloud-miner.de,AVAILABILITY,domains.list,2026-02-11 06:31:58.635989+00:00
mine.blank.drawpad.org,AVAILABILITY,domains.list,2026-02-11 06:31:59.011060+00:00
new.minr.pw,AVAILABILITY,domains.list,2026-02-11 06:31:59.230166+00:00
test.minr.pw,AVAILABILITY,domains.list,2026-02-11 06:31:59.615818+00:00
nametraff.com,AVAILABILITY,domains.list,2026-02-11 06:31:59.946575+00:00
d.cpufan.club,AVAILABILITY,domains.list,2026-02-11 06:32:00.276857+00:00
andlache.com,AVAILABILITY,domains.list,2026-02-11 06:32:00.560133+00:00
anybest.pw,AVAILABILITY,domains.list,2026-02-11 06:32:01.063975+00:00
ashgrrwt.click,AVAILABILITY,domains.list,2026-02-11 06:32:01.391133+00:00
authedwebmine.cz,AVAILABILITY,domains.list,2026-02-11 06:32:02.109776+00:00
berateveng.ru,AVAILABILITY,domains.list,2026-02-11 06:32:03.447905+00:00
bestcoinsignals.com,AVAILABILITY,domains.list,2026-02-11 06:32:03.614704+00:00
besti.ga,AVAILABILITY,domains.list,2026-02-11 06:32:04.339041+00:00
bmcm.pw,AVAILABILITY,domains.list,2026-02-11 06:32:04.794896+00:00
bmnr.pw,AVAILABILITY,domains.list,2026-02-11 06:32:05.227372+00:00
coinhiveproxy.com,AVAILABILITY,domains.list,2026-02-11 06:32:05.466735+00:00
coinminingonline.com,AVAILABILITY,domains.list,2026-02-11 06:32:05.640725+00:00
coinrail.io,AVAILABILITY,domains.list,2026-02-11 06:32:05.971157+00:00
cryptoloot.pro,AVAILABILITY,domains.list,2026-02-11 06:32:06.558267+00:00
dark-utilities.me,AVAILABILITY,domains.list,2026-02-11 06:32:07.381699+00:00
dark-utilities.pw,AVAILABILITY,domains.list,2026-02-11 06:32:07.811731+00:00
dark-utilities.xyz,AVAILABILITY,domains.list,2026-02-11 06:32:08.434445+00:00
de-ner-mi-nis4.info,AVAILABILITY,domains.list,2026-02-11 06:32:09.014875+00:00
de-nis-ner-mi-5.info,AVAILABILITY,domains.list,2026-02-11 06:32:09.510636+00:00
eth-pocket.com,AVAILABILITY,domains.list,2026-02-11 06:32:09.758507+00:00
f1tbit.com,AVAILABILITY,domains.list,2026-02-11 06:32:10.005347+00:00
flighty.win,AVAILABILITY,domains.list,2026-02-11 06:32:10.247547+00:00
flightzy.date,AVAILABILITY,domains.list,2026-02-11 06:32:10.760208+00:00
flightzy.win,AVAILABILITY,domains.list,2026-02-11 06:32:10.995321+00:00
ininmacerad.pro,AVAILABILITY,domains.list,2026-02-11 06:32:11.286830+00:00
ledhenone.com,AVAILABILITY,domains.list,2026-02-11 06:32:11.540113+00:00
losital.ru,AVAILABILITY,domains.list,2026-02-11 06:32:12.282727+00:00
machieved.com,AVAILABILITY,domains.list,2026-02-11 06:32:12.489421+00:00
mebablo.com,AVAILABILITY,domains.list,2026-02-11 06:32:12.726111+00:00
minero.pw,AVAILABILITY,domains.list,2026-02-11 06:32:13.194948+00:00
minexmr.stream,AVAILABILITY,domains.list,2026-02-11 06:32:13.840417+00:00
money-maker-default.info,AVAILABILITY,domains.list,2026-02-11 06:32:14.429196+00:00
nathetsof.com,AVAILABILITY,domains.list,2026-02-11 06:32:14.664674+00:00
nch-software.info,AVAILABILITY,domains.list,2026-02-11 06:32:15.270446+00:00
ninaning.com,AVAILABILITY,domains.list,2026-02-11 06:32:15.506023+00:00
nvidia-graphics.top,AVAILABILITY,domains.list,2026-02-11 06:32:17.121242+00:00
panelsave.com,AVAILABILITY,domains.list,2026-02-11 06:32:17.422404+00:00
panger-top.click,AVAILABILITY,domains.list,2026-02-11 06:32:17.630583+00:00
pearno.com,AVAILABILITY,domains.list,2026-02-11 06:32:17.883982+00:00
pr0gram.org,AVAILABILITY,domains.list,2026-02-11 06:32:20.298927+00:00
proofly.win,AVAILABILITY,domains.list,2026-02-11 06:32:20.540180+00:00
scaleway.ovh,AVAILABILITY,domains.list,2026-02-11 06:32:21.079920+00:00
service4refresh.info,AVAILABILITY,domains.list,2026-02-11 06:32:21.667338+00:00
staticsfs.host,AVAILABILITY,domains.list,2026-02-11 06:32:22.160627+00:00
uoldid.ru,AVAILABILITY,domains.list,2026-02-11 06:32:22.772069+00:00
vceilinichego.ru,AVAILABILITY,domains.list,2026-02-11 06:32:23.429275+00:00
videoplayer2.xyz,AVAILABILITY,domains.list,2026-02-11 06:32:23.994633+00:00
webmine.pro,AVAILABILITY,domains.list,2026-02-11 06:32:24.278703+00:00
zymerget.win,AVAILABILITY,domains.list,2026-02-11 06:32:24.514756+00:00
mine.terorie.com,AVAILABILITY,domains.list,2026-02-11 06:32:24.818679+00:00
nimwss-us-shark.lolopool.com,AVAILABILITY,domains.list,2026-02-11 06:32:26.389732+00:00
cnt.statistic.date,AVAILABILITY,domains.list,2026-02-11 06:32:26.600826+00:00
go.megabanners.cf,AVAILABILITY,domains.list,2026-02-11 06:32:28.276523+00:00
yqaywudifu.date,AVAILABILITY,domains.list,2026-02-11 06:32:28.690583+00:00
xmr.mining.best,AVAILABILITY,domains.list,2026-02-11 06:32:29.206838+00:00
zymerget.date,AVAILABILITY,domains.list,2026-02-11 06:32:29.619389+00:00
zndaowjdnf.stream,AVAILABILITY,domains.list,2026-02-11 06:32:30.200771+00:00
zymerget.party,AVAILABILITY,domains.list,2026-02-11 06:32:30.959309+00:00
zymerget.faith,AVAILABILITY,domains.list,2026-02-11 06:32:31.804443+00:00
zymerget.stream,AVAILABILITY,domains.list,2026-02-11 06:32:32.077812+00:00
www.never.ovh,AVAILABILITY,domains.list,2026-02-11 06:32:32.454642+00:00
cdn.static-cnt.bid,AVAILABILITY,domains.list,2026-02-11 06:32:32.760193+00:00
play1.flashx.pw,AVAILABILITY,domains.list,2026-02-11 06:32:33.002813+00:00
play2.flashx.pw,AVAILABILITY,domains.list,2026-02-11 06:32:33.263270+00:00
play4.flashx.pw,AVAILABILITY,domains.list,2026-02-11 06:32:33.557943+00:00
play5.flashx.pw,AVAILABILITY,domains.list,2026-02-11 06:32:33.747888+00:00
webminepool.tk,AVAILABILITY,domains.list,2026-02-11 06:32:39.515588+00:00
www2.adfreetv.ch,AVAILABILITY,domains.list,2026-02-11 06:32:39.672532+00:00
www.altavista.ovh,AVAILABILITY,domains.list,2026-02-11 06:32:40.030193+00:00
www.coin-cube.com,AVAILABILITY,domains.list,2026-02-11 06:32:40.212482+00:00
www.graftpool.ovh,AVAILABILITY,domains.list,2026-02-11 06:32:40.489452+00:00
www.webminepool.tk,AVAILABILITY,domains.list,2026-02-11 06:32:41.255868+00:00
8jd2lfsq.me,AVAILABILITY,domains.list,2026-02-11 06:32:41.856369+00:00
eth-pocket.de,AVAILABILITY,domains.list,2026-02-11 06:32:42.411203+00:00
aeros03.tk,AVAILABILITY,domains.list,2026-02-11 06:32:47.817085+00:00
1q2w3.me,AVAILABILITY,domains.list,2026-02-11 06:32:48.137017+00:00
aeros04.tk,AVAILABILITY,domains.list,2026-02-11 06:32:53.579930+00:00
cdn.jquery-uim.download,AVAILABILITY,domains.list,2026-02-11 06:32:53.881397+00:00
my.domain,AVAILABILITY,domains.list,2026-02-11 06:32:54.025980+00:00
www.monkeyminer.net,AVAILABILITY,domains.list,2026-02-11 06:32:54.259376+00:00
aeros06.tk,AVAILABILITY,domains.list,2026-02-11 06:32:59.599310+00:00
aeros05.tk,AVAILABILITY,domains.list,2026-02-11 06:33:57.048169+00:00
aeros08.tk,AVAILABILITY,domains.list,2026-02-11 06:34:02.926571+00:00
aeros09.tk,AVAILABILITY,domains.list,2026-02-11 06:34:09.134812+00:00
aeros07.tk,AVAILABILITY,domains.list,2026-02-11 06:34:14.848097+00:00
aeros10.tk,AVAILABILITY,domains.list,2026-02-11 06:34:20.226635+00:00
afflow.18-plus.net,AVAILABILITY,domains.list,2026-02-11 06:34:20.632986+00:00
alflying.bid,AVAILABILITY,domains.list,2026-02-11 06:34:21.013877+00:00
alflying.date,AVAILABILITY,domains.list,2026-02-11 06:34:22.306058+00:00
anybest.host,AVAILABILITY,domains.list,2026-02-11 06:34:23.023458+00:00
api.aalbbh84.info,AVAILABILITY,domains.list,2026-02-11 06:34:23.388254+00:00
anybest.space,AVAILABILITY,domains.list,2026-02-11 06:34:23.942951+00:00
api.jsecoin.com,AVAILABILITY,domains.list,2026-02-11 06:34:24.246244+00:00
as.cfcnet.top,AVAILABILITY,domains.list,2026-02-11 06:34:25.239030+00:00
bauersagtnein.myeffect.net,AVAILABILITY,domains.list,2026-02-11 06:34:26.030883+00:00
aymcsx.ru,AVAILABILITY,domains.list,2026-02-11 06:34:27.577705+00:00
baywttgdhe.download,AVAILABILITY,domains.list,2026-02-11 06:34:27.930673+00:00
bjorksta.men,AVAILABILITY,domains.list,2026-02-11 06:34:32.911366+00:00
blockchained.party,AVAILABILITY,domains.list,2026-02-11 06:34:33.819394+00:00
bsyauqwerd.party,AVAILABILITY,domains.list,2026-02-11 06:34:34.395185+00:00
