subject,idna_subject,expiration_date,epoch,registrar
1q2w3.fun,1q2w3.fun,08-jun-2021,1623110400.0,
1q2w3.fun,1q2w3.fun,08-jun-2021,1623110400.0,
1q2w3.website,1q2w3.website,21-feb-2021,1613865600.0,
1q2w3.website,1q2w3.website,21-feb-2021,1613865600.0,
ad-miner.com,ad-miner.com,26-jan-2021,1611619200.0,
ad-miner.com,ad-miner.com,26-jan-2021,1611619200.0,
adminer.com,adminer.com,13-jul-2021,1626134400.0,
adminer.com,adminer.com,13-jul-2021,1626134400.0,
afminer.com,afminer.com,25-feb-2021,1614211200.0,
afminer.com,afminer.com,25-feb-2021,1614211200.0,
alflying.win,alflying.win,09-jun-2021,1623196800.0,
alflying.win,alflying.win,09-jun-2021,1623196800.0,
altavista.ovh,altavista.ovh,06-mar-2021,1614988800.0,
altavista.ovh,altavista.ovh,06-mar-2021,1614988800.0,
andlache.com,andlache.com,04-apr-2021,1617494400.0,
andlache.com,andlache.com,04-apr-2021,1617494400.0,
aservices.party,aservices.party,07-apr-2021,1617753600.0,
aservices.party,aservices.party,07-apr-2021,1617753600.0,
baiduccdn1.com,baiduccdn1.com,12-feb-2021,1613088000.0,
baiduccdn1.com,baiduccdn1.com,12-feb-2021,1613088000.0,
becanium.com,becanium.com,06-mar-2021,1614988800.0,
becanium.com,becanium.com,06-mar-2021,1614988800.0,
berateveng.ru,berateveng.ru,10-jul-2021,1625875200.0,
berateveng.ru,berateveng.ru,10-jul-2021,1625875200.0,
besocial.online,besocial.online,10-feb-2021,1612915200.0,
besocial.online,besocial.online,10-feb-2021,1612915200.0,
bestcoinsignals.com,bestcoinsignals.com,18-mar-2021,1616025600.0,
bestcoinsignals.com,bestcoinsignals.com,18-mar-2021,1616025600.0,
besti.ga,besti.ga,25-apr-2021,1619308800.0,
besti.ga,besti.ga,25-apr-2021,1619308800.0,
biberukalap.com,biberukalap.com,03-sep-2021,1630627200.0,
biberukalap.com,biberukalap.com,03-sep-2021,1630627200.0,
bmcm.pw,bmcm.pw,20-feb-2021,1613779200.0,
bmcm.pw,bmcm.pw,20-feb-2021,1613779200.0,
browsermine.com,browsermine.com,21-sep-2021,1632182400.0,
browsermine.com,browsermine.com,21-sep-2021,1632182400.0,
butcalve.com,butcalve.com,05-apr-2021,1617580800.0,
butcalve.com,butcalve.com,05-apr-2021,1617580800.0,
cdn-code.host,cdn-code.host,08-jun-2021,1623110400.0,
cdn-code.host,cdn-code.host,08-jun-2021,1623110400.0,
chainblock.science,chainblock.science,08-apr-2021,1617840000.0,
chainblock.science,chainblock.science,08-apr-2021,1617840000.0,
clgserv.pro,clgserv.pro,27-feb-2021,1614384000.0,
clgserv.pro,clgserv.pro,27-feb-2021,1614384000.0,
cloudcdn.gdn,cloudcdn.gdn,17-apr-2021,1618617600.0,
cloudcdn.gdn,cloudcdn.gdn,17-apr-2021,1618617600.0,
cloudflane.com,cloudflane.com,11-feb-2021,1613001600.0,
cloudflane.com,cloudflane.com,11-feb-2021,1613001600.0,
cnhv.co,cnhv.co,23-aug-2021,1629676800.0,
cnhv.co,cnhv.co,23-aug-2021,1629676800.0,
coin-hive.com,coin-hive.com,24-aug-2021,1629763200.0,
coin-hive.com,coin-hive.com,24-aug-2021,1629763200.0,
coinlab.biz,coinlab.biz,31-jan-2021,1612051200.0,
coinlab.biz,coinlab.biz,31-jan-2021,1612051200.0,
coinpot.co,coinpot.co,05-may-2021,1620172800.0,
coinpot.co,coinpot.co,05-may-2021,1620172800.0,
cryptaloot.pro,cryptaloot.pro,23-feb-2021,1614038400.0,
cryptaloot.pro,cryptaloot.pro,23-feb-2021,1614038400.0,
cryptoloot.pro,cryptoloot.pro,30-jul-2021,1627603200.0,
cryptoloot.pro,cryptoloot.pro,30-jul-2021,1627603200.0,
datasecu.download,datasecu.download,15-may-2021,1621036800.0,
datasecu.download,datasecu.download,15-may-2021,1621036800.0,
de-mi-nis-ner.info,de-mi-nis-ner.info,16-jun-2021,1623801600.0,
de-mi-nis-ner.info,de-mi-nis-ner.info,16-jun-2021,1623801600.0,
de-mi-nis-ner2.info,de-mi-nis-ner2.info,09-jul-2021,1625788800.0,
de-mi-nis-ner2.info,de-mi-nis-ner2.info,09-jul-2021,1625788800.0,
dzizsih.ru,dzizsih.ru,07-jul-2021,1625616000.0,
dzizsih.ru,dzizsih.ru,07-jul-2021,1625616000.0,
encoding.ovh,encoding.ovh,27-mar-2021,1616803200.0,
encoding.ovh,encoding.ovh,27-mar-2021,1616803200.0,
etzbnfuigipwvs.ru,etzbnfuigipwvs.ru,10-jul-2021,1625875200.0,
etzbnfuigipwvs.ru,etzbnfuigipwvs.ru,10-jul-2021,1625875200.0,
eucsoft.com,eucsoft.com,10-feb-2021,1612915200.0,
eucsoft.com,eucsoft.com,10-feb-2021,1612915200.0,
exdynsrv.com,exdynsrv.com,20-oct-2023,1697760000.0,
exdynsrv.com,exdynsrv.com,20-oct-2023,1697760000.0,
formulawire.com,formulawire.com,21-jun-2021,1624233600.0,
formulawire.com,formulawire.com,21-jun-2021,1624233600.0,
freshrefresher.com,freshrefresher.com,11-apr-2021,1618099200.0,
freshrefresher.com,freshrefresher.com,11-apr-2021,1618099200.0,
g-content.bid,g-content.bid,23-may-2021,1621728000.0,
g-content.bid,g-content.bid,23-may-2021,1621728000.0,
g1thub.com,g1thub.com,30-oct-2022,1667088000.0,
