idna_subject,checker_type,destination,source,tested_at,session_id
001.0x1f4b0.com,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:37.138153,0e2df284f9701f7295804dc1
002.0x1f4b0.com,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:37.568845,0e2df284f9701f7295804dc1
003.0x1f4b0.com,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:38.019099,0e2df284f9701f7295804dc1
004.0x1f4b0.com,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:38.471079,0e2df284f9701f7295804dc1
005.0x1f4b0.com,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:38.927887,0e2df284f9701f7295804dc1
006.0x1f4b0.com,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:39.381461,0e2df284f9701f7295804dc1
007.0x1f4b0.com,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:39.823515,0e2df284f9701f7295804dc1
008.0x1f4b0.com,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:40.306863,0e2df284f9701f7295804dc1
1q2w3.fun,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:40.737137,0e2df284f9701f7295804dc1
1q2w3.website,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:41.243285,0e2df284f9701f7295804dc1
2giga.download,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:41.713239,0e2df284f9701f7295804dc1
abc.pema.cl,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:43.706150,0e2df284f9701f7295804dc1
acbp0020171456.page.tl,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:46.344619,0e2df284f9701f7295804dc1
ad-miner.com,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:46.727407,0e2df284f9701f7295804dc1
adminer.com,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:48.527533,0e2df284f9701f7295804dc1
adzjzewsma.cf,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:49.694013,0e2df284f9701f7295804dc1
aeros01.tk,AVAILABILITY,domains.list,domains.list,2021-12-08 09:57:51.183285,0e2df284f9701f7295804dc1
afminer.com,AVAILABILITY,domains.list,domains.list,2021-12-08 10:00:22.662931,0e2df284f9701f7295804dc1
alflying.win,AVAILABILITY,domains.list,domains.list,2021-12-08 10:00:23.525529,0e2df284f9701f7295804dc1
altavista.ovh,AVAILABILITY,domains.list,domains.list,2021-12-08 10:00:24.021882,0e2df284f9701f7295804dc1
analytics.blue,AVAILABILITY,domains.list,domains.list,2021-12-08 10:00:24.781005,0e2df284f9701f7295804dc1
andlache.com,AVAILABILITY,domains.list,domains.list,2021-12-08 10:00:27.465658,0e2df284f9701f7295804dc1
anybest.site,AVAILABILITY,domains.list,domains.list,2021-12-08 10:00:28.571360,0e2df284f9701f7295804dc1
api.browsermine.com,AVAILABILITY,domains.list,domains.list,2021-12-08 10:00:29.809414,0e2df284f9701f7295804dc1
api.inwemo.com,AVAILABILITY,domains.list,domains.list,2021-12-08 10:00:33.392991,0e2df284f9701f7295804dc1
api.miner.beeppool.org,AVAILABILITY,domains.list,domains.list,2021-12-08 10:00:34.841700,0e2df284f9701f7295804dc1
aservices.party,AVAILABILITY,domains.list,domains.list,2021-12-08 10:00:57.078119,0e2df284f9701f7295804dc1
authedmine.com,AVAILABILITY,domains.list,domains.list,2021-12-08 10:00:57.599629,0e2df284f9701f7295804dc1
authedmine.eu,AVAILABILITY,domains.list,domains.list,2021-12-08 10:00:58.909546,0e2df284f9701f7295804dc1
authedwebmine.cz,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:00.862064,0e2df284f9701f7295804dc1
autologica.ga,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:08.292640,0e2df284f9701f7295804dc1
axoncoho.tk,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:09.880645,0e2df284f9701f7295804dc1
bablace.com,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:10.652662,0e2df284f9701f7295804dc1
baiduccdn1.com,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:11.436215,0e2df284f9701f7295804dc1
beatingbytes.com,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:12.013658,0e2df284f9701f7295804dc1
becanium.com,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:12.876374,0e2df284f9701f7295804dc1
berateveng.ru,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:13.469857,0e2df284f9701f7295804dc1
besocial.online,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:14.123020,0e2df284f9701f7295804dc1
bestcoinsignals.com,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:15.248826,0e2df284f9701f7295804dc1
besti.ga,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:16.968527,0e2df284f9701f7295804dc1
bewaslac.com,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:17.833395,0e2df284f9701f7295804dc1
biberukalap.com,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:18.457139,0e2df284f9701f7295804dc1
binarybusiness.de,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:19.614790,0e2df284f9701f7295804dc1
bitcoin-pay.eu,AVAILABILITY,domains.list,domains.list,2021-12-08 10:01:20.030279,0e2df284f9701f7295804dc1
