# Generated by PyFunceble (v4.4.2.dev) / https://pyfunceble.github.io
# Date of generation: 2026-09-05T11:15:14.943081+00:00

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
NameCheap, Inc.                22%          8           
Cloudflare, Inc.               11%          4           
Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn) 6%           2           
DOMAINER-RU                    6%           2           
Dynadot Inc                    6%           2           
Key-Systems LLC                6%           2           
Name.com, Inc                  6%           2           
NameSilo, LLC                  6%           2           
OVH                            6%           2           
REG-GRANSY                     6%           2           
REG-INTERNET-CZ                6%           2           
Realtime Register B.V.         6%           2           
humbly, LLC                    6%           2           
united-domains AG              6%           2           
NameCheap, Inc.                22%          8           
Cloudflare, Inc.               11%          4           
Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn) 6%           2           
DOMAINER-RU                    6%           2           
Dynadot Inc                    6%           2           
Key-Systems LLC                6%           2           
Name.com, Inc                  6%           2           
NameSilo, LLC                  6%           2           
OVH                            6%           2           
REG-GRANSY                     6%           2           
REG-INTERNET-CZ                6%           2           
Realtime Register B.V.         6%           2           
humbly, LLC                    6%           2           
united-domains AG              6%           2           
